source,province,confirmed_cases_count,death_count,observed_patient_days,report_date,place_id
http://weekly.chinacdc.cn/en/article/id/e53946e2-c6c4-41e9-9a9b-fea8db1a8f51,Hubei,33367,979,496523,2020-02-11 00:00:00 +0000 UTC,1
http://weekly.chinacdc.cn/en/article/id/e53946e2-c6c4-41e9-9a9b-fea8db1a8f51,Other,11305,44,165086,2020-02-11 00:00:00 +0000 UTC,1
